Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C11, C15, C16, C23, C9",0402,6,1u,C52923
"C10, C2, C25, C5",0402,4,10u,C15525
C12,0402,1,4u7,C23733
C14,0402,1,0p8,C327032
"C17, C18, C19, C24, C6",0402,5,0u1,C307331
C21,0402,1,2p7,C1561
C22,0402,1,3p3,C1565
"C26, C27",0402,2,12p,C1547
"C3, C7",0402,2,1p8,C76903
"C4, C8",0402,2,0p4,C76910
D1,0805,1,GREEN,C2297
D2,0603,1,WHITE,C2290
D3,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,1,WS2812B,C2874885
"D4, D5, D7",Diode_DFN1006,3,H5VU10U,C22395519
D6,D_SMA,1,D_Schottky,C22452
J1,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB_C_Receptacle_USB2.0_14P,C393939
"J2, J3, J4",SMA_BAT_Wireless_BWSMA-KWE-Z001,3,Conn_Coaxial,C496551
L1,0402,1,2n9,C48946217
L2,0402,1,1n6,C162539
L3,0402,1,2n,C18216
L4,0402,1,24n,C167472
"R1, R2, R3, R4",0402,4,5k1,C25905
"R10, R11, R12, R9",0402,4,10k,C25744
"R13, R14",0402,2,22,C25092
R15,0402,1,470,C25117
"R5, R6, R7, R8",0402,4,100,C25076
"SW1, SW2",SW_SPST_TS-1088-xR020,2,SW_Push,C720477
"TP1, TP2, TP3, TP4, TP5, TP6, TP7, TP8, TP9",Murata_MM8930-2620,9,RF_switch_connector,C6227587
U1,HS96L03W2C03,1,HS96L03W2C03,C5248080
U2,Silicontra_SX1262ZTR8,1,SX1262TR8-GC,C42381682
U3,DFN-6-1EP_2x2mm_P0.5mm_ST,1,LDL212PV33R,C2969892
U4,QFN-48-1EP_6x6mm_P0.4mm_EP4.6x4.6mm,1,ESP32-C5,
Y1,Crystal_SMD_2016-4Pin_2.0x1.6mm,1,48M,C7206306
